state,pollster,sponsor,partisan,population,n,start_date,end_date,dem_candidate,rep_candidate,dem_pct,rep_pct,margin,note,source_url
AZ,Noble Predictive Insights,,none,RV,996,2026-05-05,2026-05-07,Hobbs,Biggs,41,37,4,±3.1·발표 5/18·7/21 경선 전,https://www.noblepredictiveinsights.com/post/azgov-biggs-nears-majority-as-hobbs-holds-early-edge
AZ,TechnoMetrica(TIPP),League of American Workers,R,LV,1159,2026-04-20,2026-04-24,Hobbs,Biggs,48,38,10,"±3.2·전체 RV 1,501의 LV 서브샘플·토플라인은 Newsweek 확인",https://tippinsights.com/league-of-american-workers-survey-arizona/
GA,Fabrizio Ward/Impact Research,AARP,none,LV,1060,2026-07-13,2026-07-16,Bottoms,Jackson,48,46,2,±3·공화+민주 초당 합동(오하이오 AARP와 같은 체제),https://spectrumlocalnews.com/ga/georgia/news/2026/07/27/aarp--democrats-top-georgia-governor--senate-races-
GA,State Navigate,,none,LV,448,2026-07-10,2026-07-13,Bottoms,Jackson,51,44,7,±4.6·leaners 포함 토플라인(원문 브리핑 PDF),https://statenavigate.org/ga/state-navigate-poll-shows-lance-bottoms-with-7-point-lead-in-georgia-governor-race/
GA,Wick Insights,,none,LV,1175,2026-06-27,2026-06-30,Bottoms,Jackson,42.7,43.2,-0.5,±2.9·사실상 동률(원문은 Jackson +0.5),https://wick.io/research-georgia-election-survey-june-2026
OH,NYT/Siena,,none,LV,601,2026-06-15,2026-06-29,Acton,Ramaswamy,47,47,0,±4.7·동률·표본·기간은 전재 보도 기준,https://www.yahoo.com/news/politics/articles/poll-ohio-voters-shows-competitive-064628463.html
OH,Fabrizio Ward/Impact Research,AARP,none,LV,800,2026-06-14,2026-06-16,Acton,Ramaswamy,47,44,3,±3.5·초당 합동,https://indiawest.com/new-aarp-poll-shows-vivek-ramaswamy-narrowly-trailing-in-governors-race/
OH,Tulchin Research,Kulewicz 캠프,D,LV,600,2026-06-02,2026-06-04,Acton,Ramaswamy,47,44,3,±4·민주 내부(AG 후보 캠프)·보도 6/17,https://www.yahoo.com/news/politics/articles/poll-shows-democratic-candidates-ahead-143000513.html
OH,BGSU/YouGov,,none,RV,800,2025-10-02,2025-10-14,Acton,Ramaswamy,47,50,-3,±4.5·2025년 10월,https://www.newsweek.com/vivek-ramaswamy-dealt-double-polling-blow-in-ohio-governor-race-11684958
OH,Emerson College,,none,RV,850,2025-12-06,2025-12-08,Acton,Ramaswamy,46,45,1,±3.3·2025년 12월,https://emersoncollegepolling.com/ohio-2026-poll-democrats-make-gains-in-races-for-governor-and-us-senate/
MI,EPIC-MRA,MIRS,none,LV,600,2026-07-24,2026-07-31,Benson,James,47,38,9,±4·상원 문항과 같은 조사,https://www.wgvunews.org/news/2026-08-03/statewide-poll-examines-potential-november-midterm-elections-candidate-matchups
MI,Glengariff,,none,LV,600,2026-07-22,2026-07-24,Benson,James,43.7,38.7,5,±4·원문 페이월 — 집계 사이트 경유,https://pollingsource.com/governors/MI
MI,Mitchell Research,,none,LV,672,2026-07-28,2026-07-29,Benson,James,46,44,2,±3.77·원문 릴리스 PDF,https://static1.squarespace.com/static/5f14ae6fb2a20e01e9c6d608/t/6a6d26262f442f133d15fa49/1785538087149/MITCHELL+MI+Poll+Nov+Electio+Press+Release+7-31-2026+305PM_A.pdf
WI,Marquette Law School,,none,LV,695,2026-07-08,2026-07-16,Hong,Tiffany,44,44,0,±4.9·동률(미결정 11%)·8/11 경선 전 가상,https://today.marquette.edu/2026/07/marquette-law-school-poll-finds-almost-half-of-democratic-primary-voters-undecided-amid-rapid-shifts-in-the-race-for-the-gubernatorial-nomination/
WI,RMG Research/Napolitan,IRG,none,RV,800,2026-07-20,2026-07-24,Hong,Tiffany,44,43,1,±3.5·경선 전 가상,https://www.wispolitics.com/2026/institute-for-reforming-government-irg-poll-inflation-still-rules-free-markets-still-win-race-still-open/
WI,Wedgewood Polls,,none,LV,707,2026-07-02,2026-07-04,Hong,Tiffany,47,44,3,±4.4·발표처 실체 불명 지적(MacIver) — 신뢰성 주의,https://www.newsweek.com/socialist-francesca-hongs-chances-of-beating-gop-in-wisconsin-polls-12163160
NV,Public Policy Polling,DGA,D,LV,558,2026-07-15,2026-07-16,Ford,Lombardo,44,44,0,민주주지사협회 의뢰·동률(미결정 12%),https://democraticgovernors.org/updates/despite-millions-in-spending-against-aaron-ford-the-nevada-governors-race-is-tied/
NV,Wedgewood Polls,,none,LV,700,2026-07-09,2026-07-12,Ford,Lombardo,47,50,-3,주 전체 LV 700(350은 NV-02 서브샘플)·크로스탭 정정 전력 — 신뢰성 주의,https://nevadanewsandviews.com/flippo-down-two-points-in-a-trump14-district-what-checks-out-what-doesnt/
NV,GSG,Ford 캠프,D,LV,700,2026-05-05,2026-05-11,Ford,Lombardo,42,45,-3,±3.7·민주 내부 조사에서 Lombardo 우위(메모 6/9),https://www.documentcloud.org/documents/28405936-ford-for-governor-polling-memo-f060926/
IA,Fox News/Beacon·Shaw,,none,RV,1003,2026-06-23,2026-06-27,Sand,Lahn,53,44,9,±3·상원과 같은 조사(토플라인 Q9),https://static.foxnews.com/foxnews.com/content/uploads/2026/07/fox_june-23-27-2026_complete_iowa_topline_july-1-release.pdf
IA,NYT/Siena,,none,LV,600,2026-06-15,2026-06-27,Sand,Lahn,48,47,1,±4.7·Siena 패키지 페이지엔 상원만 표기 — 주지사 수치는 보도 확인,https://littlevillagemag.com/josh-turek-leads-ashley-hinson-in-one-of-two-new-election-polls-rob-sand-beats-zach-lahn-in-both/
