date,type,actor,affiliation,state_or_district,event,detail,race_link,significance,source_url
2024-12,북한,Andy Kim,D-상원,NJ,한국 비상계엄 사태 관련 입장 표명,윤석열 계엄 선포가 한국 민주주의 위협이라 논평; 한국계 첫 연방 상원의원(2024-12-09 취임); 정확 일자 미확인(월 단위),,1,https://en.wikipedia.org/wiki/Andy_Kim_(politician)
2025-02-12,법안표결,Tim Kaine,D-상원,VA,S 555 한국계 이산가족 등록부법 발의,국무부에 한국전쟁 후 북측 가족과 헤어진 한국계 미국인 이산가족 등록부 설치 지시; 상원 외교위 보고 완료; 하원 대응법안 HR 1273,,2,https://www.congress.gov/bill/119th-congress/senate-bill/555
2025-04-19,인사,Ashley Hinson,R-IA-02(2026 상원 후보),IA,CSGK 의회 대표단으로 방한 — 조태열 외교장관 면담,"Congressional Study Group on Korea(전직의원협회 주관) 대표단 일원으로 2025-04-12~19 방한. 동행 Bera·Salinas·Kiggans·Carbajal·Min·Moore. ※CSGK는 하원 Korea Caucus와 별개 조직이며 Hinson은 Korea Caucus 임원이 아님(평회원 여부 미확인). 방한 후 관련 보도자료 없음(의원실 아카이브 약 860건 전수 확인). 한국 관련 법안 발의·공동발의는 117~119대 1,014건 중 0건 — H.Res.64 미·한 동맹 결의안에도 불참. 본회의 표결은 이산가족등록법(2024 Roll 281)·북한인권법 재승인(2024 Roll 474) 찬성 2건이나 둘 다 초당적 압도 통과 건.",states/ia.qmd,2,https://keia.org/analysis/q2-2025-u-s-korea-trade-and-diplomacy-ledger/
2025-06-25,선거연계,Dave Min,D-하원,CA-47,Young Kim의 ICE 감사 결의안 규탄,한국계 업소 대상 ICE 단속 와중에 ICE에 감사를 표하는 Young Kim 결의안을 비판; 한국계 의원 간 대립 사례,CA-47,1,https://min.house.gov/media/press-releases/watch-rep-dave-min-condemns-rep-young-kims-resolution-thanking-ice-agents-amid
2025-07-24,법안표결,Young Kim,R-하원,CA-40,HR 4687 Partner with Korea Act 발의,KORUS FTA 기반 한국 고급인력 대상 E-4 전문직 비자 연 15;000개 신설(미국인 대체 불가 조건); Kamlager-Dove(D)와 초당적 공동발의,CA-40,2,https://www.congress.gov/bill/119th-congress/house-bill/4687
2025-09-05,선거연계,Dave Min,D-하원,CA-47,조지아 현대차 EV 공장 ICE 단속·한국인 구금 규탄,현대차 배터리공장 ICE 단속으로 한국인 300여 명 포함 475명 구금; Min은 무차별 단속이 외국기업 대미투자를 위축시킨다 비판,CA-47,2,https://min.house.gov/media/press-releases/statement-rep-dave-min-condemns-detainment-hundreds-south-koreans-hyundai-ev
2025-10,통상,Andy Kim,D-상원,NJ,한미 무역협정 관련 성명,2025년 10월 미·한 무역합의에 대한 입장 표명; 한국계 첫 상원의원으로서 양국관계 발언; 정확 일자 미확인(월 단위),,1,https://www.kim.senate.gov/newsroom/6
2025-11-07,법안표결,Young Kim,R-하원,CA-40,HR 5959 북한인권법 재승인법 발의,2004년 북한인권법 재승인·갱신; 북한 주민 인권·정보접근 증진; Ami Bera(D)와 공동발의; Kim은 하원 외교위 동아태소위원장,CA-40,2,https://www.congress.gov/bill/119th-congress/house-bill/5959
2026-04-29,북한,Young Kim,R-하원,CA-40,제23회 North Korea Freedom Week 라운드테이블 주재,탈북민 11명과 인권유린 증언 청취; HR 5959 통과 촉구; Congressional Study Group on Korea 공동의장,CA-40,1,https://youngkim.house.gov/2026/04/29/rep-young-kim-chairs-north-korea-freedom-week-roundtable-urges-passage-of-north-korean-human-rights-reauthorization-act/
2026-06-04,안보,Korea Caucus 공동의장단,초당파,,Korea Caucus 이재명 대통령 당선 축하 성명,Bera(D)·Strickland(D)·Wilson(R)·Kelly(R) 4인 공동의장 명의; 한미동맹 강화 의지 표명; 한국전 75주년 언급,,2,https://bera.house.gov/news/press-releases/statement-from-the-co-chairs-of-the-congressional-korea-caucus-congratulating-president-lee-jae-myung
2026-06-08,법안표결,Ami Bera,D-하원,CA-06,HR 3429 한미일 3자협력법 하원 통과,한·미·일 의원 정례 협의체 설치를 국무부에 지시; 본회의 suspension of rules(구두표결) 가결 후 상원 외교위 회부; Young Kim 등 초당적 공동발의; congress.gov 액션 6/8 vs 보도 6/9 1일 차,,3,https://www.congress.gov/bill/119th-congress/house-bill/3429
