date_end,date_start,pollster,sponsor,population,n,dem,rep,value,partisan,internal,poll_id,source_url
2024-12-11,2024-12-09,Cygnal,,LV,1500,44.6,48.4,-3.8,,,gen202cygjt8f4fjs,https://www.cygn.al/poll-musk-most-effective-trump-surrogate-as-voters-rally-behind-doge-deportations-and-congressional-republicans/
2024-12-16,2024-12-11,McLaughlin & Associates,,LV,1000,42.0,47.0,-5.0,,,gen202mcl59zqj4xe,https://mclaughlinonline.com/2024/12/18/ma-poll-national-monthly-december-2024/
2025-01-12,2025-01-09,Cygnal,,LV,1500,44.6,46.8,-2.2,,,gen202cygqnc6obu6,https://www.cygn.al/voters-back-kingmaker-trumps-policies-on-economy-energy-and-health/
2025-01-16,2025-01-15,RMG Research,Napolitan Institute,RV,1000,44.0,51.0,-7.0,,,gen202rmg4ozl7t6b,https://napolitannews.org/posts/generic-ballot-gop-51-percent-dem-44
2025-01-23,2025-01-22,Quantus Insights,TrendingPolitics,RV,1000,45.0,48.0,-3.0,REP,,gen202qua30mem0sb,https://quantusinsights.org/f/trump%E2%80%99s-second-term-begins-what-voters-think
2025-01-27,2025-01-22,McLaughlin & Associates,,LV,1000,40.0,48.0,-8.0,,,gen202mcl60gh0sr5,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf
2025-02-01,2025-01-27,"Fabrizio, Lee & Associates/Impact Research",AARP,RV,3000,43.0,43.0,0.0,,,gen202fabe2zwvj7q,https://www.aarp.org/content/dam/aarp/research/topics/voter-opinion-research/politics/federal-tax-package-legislative-priorities.doi.10.26419-2fres.00921.001.pdf
2025-02-05,2025-02-04,Cygnal,,LV,1500,46.2,47.2,-1.0,,,gen202cyg5abgxlqw,https://www.cygn.al/poll-trump-winning-over-black-men-dei-skeptics-and-border-hawks-as-democrats-lose-ground/
2025-02-06,2025-01-31,Clarity Campaign Labs,,RV,1102,45.0,44.0,1.0,,,gen202clamw35tq8u,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/67aa57a7976e415c4d212706/1739216809584/Clarity+Omnibus+Overview+-+Jan_Feb+2025.pdf
2025-02-12,2025-02-10,Quantus Insights,TrendingPolitics,RV,1000,44.0,48.0,-4.0,REP,,gen202quasdivo0qp,https://quantusinsights.org/f/quantus-insights-latest-national-survey---february-13-2025
2025-02-13,2025-02-10,Echelon Insights,,LV,1010,46.0,47.0,-1.0,,,gen202ech0mh719m0,https://echeloninsights.com/in-the-news/feb-2025-verified-voter-omnibus-2-2/
2025-02-17,2025-02-15,co/efficient,,LV,2063,44.0,46.0,-2.0,REP,,gen202co/gegk2uur,https://coefficient.org/doge-part-2/
2025-02-18,2025-02-11,McLaughlin & Associates,,LV,1000,41.0,48.0,-7.0,,,gen202mcl17umhafe,https://mclaughlinonline.com/pols/wp-content/uploads/2025/02/National-February-Presentation-RELEASE-02-18-25.pdf
2025-02-18,2025-02-16,YouGov,The Economist,A,1603,35.0,37.0,-2.0,,,gen202youkoep0g85,https://d3nkl3psvxxpe9.cloudfront.net/documents/econtoplines_KfNmvTk.pdf
2025-02-18,2025-02-16,YouGov,The Economist,RV,1451,42.0,41.0,1.0,,,gen202youxm9gp3wb,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_OFVhPxp.pdf
2025-02-21,2025-02-20,RMG Research,Napolitan Institute,RV,1000,46.0,48.0,-2.0,,,gen202rmgio02rlo0,https://x.com/ScottWRasmussen/status/1894720317291114920
2025-03-02,2025-02-25,Public Opinion Strategies,Paragon Health Institute,RV,1000,44.0,46.0,-2.0,,,genconpubv3i0h704,https://paragoninstitute.org/medicaid/paragon-health-policy-survey-2025/
2025-03-03,2025-03-02,Emerson College,,RV,1000,44.4,41.4,3.0,,,gen202eme3uzn57et,https://emersoncollegepolling.com/march-2025-national-poll/
2025-03-05,2025-03-03,Cygnal,,LV,1500,47.4,45.9,1.5,,,gen202cyg8hz85otp,https://www.cygn.al/wp-content/uploads/2025/03/22915-Cygnal-National-NVT-Mar25-Deck-Public.pdf
2025-03-07,2025-03-04,McLaughlin & Associates,America's New Majority Project,RV,2000,43.7,45.7,-2.0,REP,,gen202mclhngt13y7,https://americasnewmajorityproject.com/wp-content/uploads/2025/03/20250307-NationalANMP-Topline.pdf
